Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1988,6,21,2,1328,1330,1444,1440,AA,1032,NA,76,70,NA,4,-2,SJC,LAX,308,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,7,4,1659,1610,1838,1750,NW,629,NA,159,160,NA,48,49,BWI,MSP,936,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,20,2,1038,1038,1104,1105,DL,214,NA,26,27,NA,-1,0,FLL,MIA,21,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,24,3,1504,1500,1610,1601,CO,1088,NA,66,61,NA,9,4,IAH,MSY,305,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,10,6,955,955,1235,1228,DL,1194,NA,100,93,NA,7,0,ELP,DFW,551,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,23,5,2158,2050,2353,2239,UA,1219,NA,115,109,NA,74,68,SEA,SFO,679,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,10,7,1910,1845,1956,1933,PI,501,NA,46,48,NA,23,25,GRR,DAY,217,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,25,6,805,805,817,815,WN,762,NA,72,70,NA,2,0,ELP,PHX,347,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,17,1,1458,1455,1620,1622,US,2977,NA,82,87,NA,-2,3,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,31,1,2025,2025,2228,2217,UA,1015,NA,123,112,NA,11,0,IAD,ATL,533,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,7,6,1054,1055,1149,1145,PI,291,NA,55,50,NA,4,-1,MCO,MIA,193,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,5,2,1715,1720,1811,1815,US,529,NA,56,55,NA,-4,-5,ALB,PHL,212,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,21,7,1300,1300,1358,1356,EA,1061,NA,58,56,NA,2,0,BOS,LGA,185,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,17,1,1750,1750,1908,1913,EA,626,NA,78,83,NA,-5,0,ATL,RDU,356,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,25,1,1603,1600,1750,1753,PI,65,NA,107,113,NA,-3,3,EWR,CVG,569,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,19,2,855,855,1100,1026,AA,139,NA,125,91,NA,34,0,MEM,DFW,432,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,7,3,1716,1715,1836,1827,US,379,NA,80,72,NA,9,1,MDT,BOS,335,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,21,4,1345,1330,1542,1528,NW,445,NA,57,58,NA,14,15,MKE,DTW,238,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,6,4,2008,1730,2300,2020,NW,708,NA,112,110,NA,160,158,MSP,PIT,726,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,13,6,1540,1515,1654,1611,PA (1),387,NA,74,56,NA,43,25,MCO,MIA,193,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,27,6,1953,1954,2030,2040,AA,111,NA,37,46,NA,-10,-1,CAK,FWA,196,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,26,5,1101,1105,1134,1128,CO,1061,NA,93,83,NA,6,-4,ABQ,LAS,487,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,23,7,1104,1105,1154,1155,UA,427,NA,110,110,NA,-1,-1,BWI,ORD,622,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,25,7,748,750,854,906,UA,353,NA,66,76,NA,-12,-2,ORD,MSP,334,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,9,2,1644,1645,1809,1758,AA,859,NA,145,133,NA,11,-1,PHL,ORD,678,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,12,3,2000,2000,2130,2109,CO,327,NA,90,69,NA,21,0,EWR,DCA,199,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,4,7,1300,1300,1403,1404,CO,313,NA,63,64,NA,-1,0,EWR,DCA,199,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,27,7,1302,1245,1542,1530,US,469,NA,160,165,NA,12,17,PHL,FLL,992,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,19,1,2130,2130,2229,2240,US,510,NA,59,70,NA,-11,0,BOS,PHL,280,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,7,4,800,740,920,848,US,254,NA,80,68,NA,32,20,RDU,PHL,336,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,3,7,2027,1845,2137,2000,US,265,NA,70,75,NA,97,102,LGA,BUF,292,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,26,6,1700,1700,1808,1802,EA,1501,NA,68,62,NA,6,0,LGA,DCA,214,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,16,6,735,657,840,802,AA,396,NA,65,65,NA,38,38,DFW,HOU,247,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,14,7,1455,1455,1829,1819,CO,448,NA,154,144,NA,10,0,SJC,DEN,948,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,10,7,2050,2050,2137,2150,WN,517,NA,47,60,NA,-13,0,MAF,DAL,319,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,15,6,1140,1140,1302,1302,AA,1020,NA,82,82,NA,0,0,SJC,SAN,417,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,10,6,1620,1620,1910,1900,NW,1133,NA,170,160,NA,10,0,DTW,SRQ,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,12,2,1855,1855,2111,2130,AA,1068,NA,76,95,NA,-19,0,BNA,DTW,457,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,8,1,2107,2107,2151,2145,DL,1539,NA,104,98,NA,6,0,SLC,BUR,574,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,4,5,913,914,1032,1017,UA,1273,NA,79,63,NA,15,-1,SFO,SBA,262,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,8,5,1334,1330,1405,1401,TW,388,NA,31,31,NA,4,4,BWI,MDT,70,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,26,7,625,625,722,725,DL,308,NA,57,60,NA,-3,0,ATL,CHS,259,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,26,6,1446,1445,1702,1729,AA,1155,NA,256,284,NA,-27,1,ORD,PDX,1739,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,23,3,1030,1029,1305,1253,UA,828,NA,95,84,NA,12,1,DEN,FSD,483,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,22,4,644,645,738,736,TW,430,NA,54,51,NA,2,-1,MCI,STL,237,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,30,5,1437,1405,2216,2127,PI,1568,NA,279,262,NA,49,32,SFO,DAY,2051,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,31,4,1625,1625,1838,1832,US,94,NA,133,127,NA,6,0,TPA,PIT,873,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,24,4,1908,1900,2004,1950,WN,88,NA,56,50,NA,14,8,IAH,DAL,217,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,7,4,2150,2150,2258,2317,EA,946,NA,68,87,NA,-19,0,BWI,DTW,408,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,30,5,1639,1635,1751,1745,US,96,NA,72,70,NA,6,4,PIT,ALB,367,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,9,2,1438,1440,1629,1621,US,370,NA,51,41,NA,8,-2,IND,CMH,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,12,5,1155,1155,1305,1300,CO,1219,NA,70,65,NA,5,0,MFE,IAH,316,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,14,4,2120,2120,2346,2348,DL,720,NA,146,148,NA,-2,0,FLL,JFK,1069,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,30,4,1146,1135,1319,1228,US,561,NA,93,53,NA,51,11,STL,MCI,237,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,22,2,1801,1801,1807,1809,EA,653,NA,66,68,NA,-2,0,ATL,PNS,272,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,7,3,852,852,916,916,EA,699,NA,24,24,NA,0,0,MCO,MLB,47,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,31,7,1553,1555,1633,1638,US,91,NA,40,43,NA,-5,-2,MEM,BHM,211,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,23,4,610,610,712,710,CO,1252,NA,62,60,NA,2,0,HOU,MSY,303,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,14,4,1828,1805,1916,1905,WN,44,NA,48,60,NA,11,23,DAL,LIT,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,4,7,1750,1750,2018,2021,AS,99,NA,148,151,NA,-3,0,LAX,SEA,954,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,7,3,630,630,816,818,DL,425,NA,106,108,NA,-2,0,EWR,CVG,569,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,26,4,1113,1110,1208,1148,US,370,NA,55,38,NA,20,3,CMH,PIT,144,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,6,7,2330,2331,25,25,DL,346,NA,55,54,NA,0,-1,ATL,JAX,270,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,26,1,710,710,856,855,NW,492,NA,106,105,NA,1,0,ATL,DTW,594,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,22,1,2051,2045,2114,2106,TW,55,NA,23,21,NA,8,6,COS,PUB,37,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,6,1,1223,1225,1255,1301,AA,605,NA,32,36,NA,-6,-2,SJU,STT,68,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,26,4,1818,1755,1900,1844,US,723,NA,42,49,NA,16,23,BWI,PIT,210,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,20,3,1345,1345,1629,1601,DL,1160,NA,164,136,NA,28,0,MCO,LGA,950,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,12,2,1131,1132,1158,1204,AA,444,NA,27,32,NA,-6,-1,GSO,RDU,67,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,3,7,1946,1931,2116,2109,AA,373,NA,90,98,NA,7,15,MSY,DFW,448,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,26,2,1958,1850,30,2344,CO,1086,NA,212,234,NA,46,68,IAH,BOS,1597,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,2,6,1610,1610,1810,1803,NW,363,NA,180,173,NA,7,0,PHL,MSP,980,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,28,1,1639,1639,1939,1943,DL,1050,NA,120,124,NA,-4,0,IAH,CVG,871,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,28,4,1141,1141,1342,1335,EA,1653,NA,61,54,NA,7,0,PNS,ATL,272,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,20,4,1814,1710,2146,2100,US,6,NA,152,170,NA,46,64,IAH,PIT,1117,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,4,5,2047,2015,2146,2106,DL,820,NA,59,51,NA,40,32,SHV,DFW,190,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,10,4,1243,1230,1554,1518,US,421,NA,191,168,NA,36,13,PHL,MIA,1013,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,1,1,1505,1505,1620,1615,HP,525,NA,75,70,NA,5,0,LAS,RNO,345,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,5,6,1909,1903,2127,2110,DL,99,NA,318,307,NA,17,6,ATL,SFO,2139,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,15,4,1600,1600,1732,1715,AS,188,NA,92,75,NA,17,0,SJC,PSP,390,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,2,5,1055,1035,1122,1118,NW,745,NA,87,103,NA,4,20,DTW,MSP,528,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,7,4,2010,2010,2110,2110,NW,1082,NA,60,60,NA,0,0,MEM,MGM,280,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,16,6,1720,1720,1908,1910,WN,350,NA,48,50,NA,-2,0,MDW,DTW,229,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,16,6,1840,1840,1937,1935,DL,663,NA,57,55,NA,2,0,BGR,BOS,201,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,5,2,1833,1840,2250,2256,PA (1),561,NA,197,196,NA,-6,-7,ORD,MIA,1197,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,13,6,755,755,1014,1031,DL,1159,NA,139,156,NA,-17,0,LGA,MCO,950,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,12,1,1626,1627,1744,1751,AA,1269,NA,78,84,NA,-7,-1,BTR,DFW,383,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,20,3,2114,2025,2217,2123,US,306,NA,63,58,NA,54,49,PIT,BWI,210,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,18,3,700,700,753,755,DL,1901,NA,53,55,NA,-2,0,LAS,LAX,236,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,14,1,1429,1429,1618,1612,NW,1149,NA,109,103,NA,6,0,HPN,DTW,505,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,6,6,1231,1231,1427,1430,EA,659,NA,176,179,NA,-3,0,LGA,MCI,1107,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,11,7,1119,1120,1326,1308,UA,1136,NA,127,108,NA,18,-1,SFO,SEA,679,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,10,6,1549,1550,1840,1912,NW,1160,NA,111,142,NA,-32,-1,MEM,PHL,874,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,25,6,1555,1545,1622,1627,UA,327,NA,87,102,NA,-5,10,TUL,DEN,541,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,18,4,839,840,951,1018,AA,234,NA,72,98,NA,-27,-1,BNA,ORD,409,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,5,2,1435,1435,1507,1506,DL,1074,NA,32,31,NA,1,0,SHV,MLU,105,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,31,4,1320,1320,1513,1510,AS,92,NA,113,110,NA,3,0,SEA,SFO,679,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,7,1,2204,2155,2325,2308,DL,1949,NA,81,73,NA,17,9,LAX,SMF,373,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,3,3,1410,1405,2113,2114,CO,42,NA,303,309,NA,-1,5,HNL,LAX,2556,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,21,6,1524,1525,1644,1651,AA,1037,NA,80,86,NA,-7,-1,RDU,JAX,408,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,27,1,1352,1347,1710,1655,AA,517,NA,138,128,NA,15,5,COS,ORD,911,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,11,1,1136,1136,1319,1319,EA,592,NA,43,43,NA,0,0,BHM,ATL,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,24,7,855,855,1201,1145,TW,15,NA,366,350,NA,16,0,JFK,LAX,2475,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,23,5,945,950,1220,1230,PA (1),430,NA,155,160,NA,-10,-5,STX,MIA,1139,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,20,7,721,720,806,800,AA,940,NA,45,40,NA,6,1,HSV,BNA,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,26,5,1820,1820,2022,2012,NW,517,NA,182,172,NA,10,0,LGA,MSP,1020,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,12,5,1614,1600,1709,1655,WN,39,NA,55,55,NA,14,14,DAL,HOU,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,15,5,2315,2315,18,13,DL,1930,NA,63,58,NA,5,0,LAX,LAS,236,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,4,4,1500,1500,1625,1628,CO,770,NA,85,88,NA,-3,0,EWR,PIT,319,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,27,2,1526,1510,1621,1600,HP,574,NA,115,110,NA,21,16,PHX,OAK,646,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,31,6,2034,2034,2200,2200,DL,826,NA,86,86,NA,0,0,CVG,PHL,507,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,29,1,714,655,835,816,AA,2345,NA,81,81,NA,19,19,SNA,SJC,342,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,1,1,2220,2220,2343,2348,TW,89,NA,143,148,NA,-5,0,STL,ABQ,934,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,9,2,907,850,1023,955,UA,70,NA,76,65,NA,28,17,MSP,ORD,334,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,17,4,2055,2055,2205,2203,EA,435,NA,70,68,NA,2,0,SDF,ATL,321,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,3,6,1527,1516,1640,1620,DL,682,NA,73,64,NA,20,11,ATL,GSO,306,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,16,2,1632,1612,1735,1720,DL,1802,NA,63,68,NA,15,20,SLC,BZN,347,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,17,5,2150,1955,2254,2105,PI,94,NA,64,70,NA,109,115,ORF,EWR,284,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,10,6,1848,1848,1922,1930,DL,62,NA,34,42,NA,-8,0,BOS,BDL,91,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,28,2,1708,1630,1908,1832,TW,423,NA,120,122,NA,36,38,JFK,CVG,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,12,5,1327,1330,1410,1415,CO,329,NA,43,45,NA,-5,-3,IAH,AUS,140,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,15,3,800,800,1107,1049,EA,892,NA,187,169,NA,18,0,MIA,LGA,1097,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,3,2,1207,1200,1509,1518,UA,248,NA,122,138,NA,-9,7,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,31,7,902,900,1031,1019,US,1708,NA,89,79,NA,12,2,SFO,LAX,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,20,1,100,1225,NA,1330,PI,484,NA,NA,65,NA,NA,755,BWI,ROC,277,NA,NA,0,NA,1,NA,NA,NA,NA,NA
1988,1,29,5,1255,1230,1530,1536,PA (1),363,NA,155,186,NA,-6,25,JFK,MIA,1090,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,3,6,921,915,1113,1125,PI,75,NA,112,130,NA,-12,6,BOS,CLT,728,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,18,1,1545,1430,1741,1541,CO,356,NA,116,71,NA,120,75,EWR,BOS,200,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,5,6,1630,1630,1740,1730,HP,861,NA,70,60,NA,10,0,LAS,SAN,258,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,7,2,1006,1010,1116,1115,NW,423,NA,70,65,NA,1,-4,MKE,MSP,297,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,20,3,1744,1655,1858,1805,PI,840,NA,74,70,NA,53,49,ROC,BOS,343,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,10,5,1112,1112,1249,1250,DL,1495,NA,97,98,NA,-1,0,SLC,FCA,532,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,26,5,1855,1855,2056,2045,NW,689,NA,181,170,NA,11,0,PHL,MSP,980,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,21,3,1615,1610,1915,1916,NW,856,NA,120,126,NA,-1,5,MEM,DCA,762,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,18,1,2359,2358,38,33,AA,157,NA,39,35,NA,5,1,PHX,TUS,110,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,17,7,1800,1800,1945,1940,NW,465,NA,105,100,NA,5,0,HPN,DTW,505,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,30,3,916,905,1153,1145,US,179,NA,157,160,NA,8,11,CLE,FLL,1062,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,20,2,2006,2010,2046,2109,NW,1467,NA,40,59,NA,-23,-4,DTW,FWA,128,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,3,2,1110,1050,1203,1142,US,327,NA,53,52,NA,21,20,PIT,DTW,201,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,3,4,NA,1300,NA,1400,WN,355,NA,NA,60,NA,NA,NA,STL,MDW,251,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1988,3,9,3,1926,1930,2114,2123,TW,161,NA,168,173,NA,-9,-4,JFK,STL,892,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,7,4,1251,1240,1503,1437,US,271,NA,192,177,NA,26,11,PHL,MSY,1088,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,11,4,1214,1214,1354,1350,EA,340,NA,100,96,NA,4,0,ATL,DCA,547,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,3,2,730,730,900,825,WN,5,NA,90,55,NA,35,0,DAL,HOU,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,12,4,916,905,1447,1437,DL,491,NA,211,212,NA,10,11,SLC,ATL,1589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,11,28,1,1808,1725,2006,1930,PA (1),567,NA,178,185,NA,36,43,JFK,MSP,1028,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,8,3,1144,1144,1241,1240,DL,1934,NA,57,56,NA,1,0,ATL,CLT,227,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,4,1,2058,2100,2214,2223,UA,1198,NA,76,83,NA,-9,-2,SFO,LAS,414,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,5,7,1409,1405,1512,1515,PI,433,NA,63,70,NA,-3,4,EWR,ORF,284,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,15,3,1742,1730,1832,1825,PI,306,NA,110,115,NA,7,12,CLT,ORD,599,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,23,6,1448,1415,1745,1717,UA,994,NA,117,122,NA,28,33,RNO,DEN,804,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,27,3,657,650,833,753,US,235,NA,96,63,NA,40,7,PVD,PHL,238,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,25,4,1721,1719,2114,2118,AA,846,NA,173,179,NA,-4,2,DFW,DCA,1192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,2,23,2,2100,2100,2158,2158,DL,1126,NA,58,58,NA,0,0,JAX,ATL,270,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,14,4,758,800,904,925,UA,63,NA,126,145,NA,-21,-2,LGA,ORD,733,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,12,31,6,1932,1932,2125,2130,DL,746,NA,113,118,NA,-5,0,MCO,BWI,787,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,11,1,1815,1657,2017,1903,EA,687,NA,122,126,NA,74,78,PHL,ATL,665,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,6,21,2,2357,2355,104,103,US,1438,NA,67,68,NA,1,2,SFO,LAX,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,23,3,814,814,957,1012,AA,535,NA,103,118,NA,-15,0,BNA,DFW,631,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,1,2,2018,2015,2124,2130,NW,982,NA,66,75,NA,-6,3,MEM,VPS,369,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,24,7,925,925,1130,1125,WN,714,NA,65,60,NA,5,0,PHX,ABQ,328,NA,NA,0,NA,0,NA,NA,NA,NA,NA
